column_name,data_type,description,category_type,missing_count,missing_percentage,unique_count
Timestamp,datetime64[us],Date and time of survey submission,Temporal,0,0.0,1246
Age,int64,Reported age of respondent in years (raw),Numerical (Continuous),0,0.0,53
Gender,str,Reported gender identity (raw free text),Categorical (Nominal - Raw),0,0.0,49
Country,str,Respondent country of residence,Categorical (Geographic),0,0.0,48
state,str,"US state or territory (if applicable, else Outside US)",Categorical (Geographic),515,40.91,46
self_employed,str,Whether the respondent is self-employed (Yes/No),Categorical (Binary),18,1.43,2
family_history,str,Family history of mental health illness (Yes/No),Categorical (Binary),0,0.0,2
treatment,str,Whether respondent sought treatment for mental health (Yes/No),Categorical (Binary - Target),0,0.0,2
work_interfere,str,"Frequency of mental health interfering with work (Often, Sometimes, Rarely, Never, Not Applicable)",Categorical (Ordinal),264,20.97,5
no_employees,str,Company size by employee count bracket,Categorical (Ordinal),0,0.0,6
remote_work,str,Works remotely at least 50% of the time (Yes/No),Categorical (Binary),0,0.0,2
tech_company,str,Primary employer is a technology company (Yes/No),Categorical (Binary),0,0.0,2
benefits,str,Employer provides mental health benefits (Yes/No/Don't know),Categorical (Nominal),0,0.0,3
care_options,str,Knowledge of mental health care options provided by employer (Yes/No/Not sure),Categorical (Nominal),0,0.0,3
wellness_program,str,Employer has discussed mental health in wellness program (Yes/No/Don't know),Categorical (Nominal),0,0.0,3
seek_help,str,Employer provides resources to seek help (Yes/No/Don't know),Categorical (Nominal),0,0.0,3
anonymity,str,Anonymity is protected if taking advantage of resources (Yes/No/Don't know),Categorical (Nominal),0,0.0,3
leave,str,Ease of taking medical leave for a mental health condition,Categorical (Ordinal),0,0.0,5
mental_health_consequence,str,Discussing mental health with employer has negative consequences (Yes/No/Maybe),Categorical (Nominal),0,0.0,3
phys_health_consequence,str,Discussing physical health with employer has negative consequences (Yes/No/Maybe),Categorical (Nominal),0,0.0,3
coworkers,str,Willingness to discuss mental health with coworkers (Yes/No/Some of them),Categorical (Nominal),0,0.0,3
supervisor,str,Willingness to discuss mental health with direct supervisor (Yes/No/Some of them),Categorical (Nominal),0,0.0,3
mental_health_interview,str,Would bring up mental health with potential employer in interview (Yes/No/Maybe),Categorical (Nominal),0,0.0,3
phys_health_interview,str,Would bring up physical health with potential employer in interview (Yes/No/Maybe),Categorical (Nominal),0,0.0,3
mental_vs_physical,str,Employer takes mental health as seriously as physical health (Yes/No/Don't know),Categorical (Nominal),0,0.0,3
obs_consequence,str,Observed negative consequences for coworkers with mental conditions (Yes/No),Categorical (Binary),0,0.0,2
comments,str,Optional open-ended comments or additional notes,Text (Unstructured),1095,86.97,161
Age_Cleaned,int64,Cleaned respondent age with extreme outliers imputed using median (31),Numerical (Continuous - Cleaned),0,0.0,45
Age_Group,category,"Binned age cohorts: 18-24, 25-34, 35-44, 45-54, 55+",Categorical (Ordinal),0,0.0,5
Gender_Cleaned,str,"Harmonized gender category: Male, Female, Non-Binary/Other",Categorical (Nominal),0,0.0,3
has_comment,int64,"Binary indicator whether respondent provided text comments (1=Yes, 0=No)",Numerical (Binary Flag),0,0.0,2
Survey_Year,int32,Year of survey submission extracted from Timestamp,Temporal / Integer,0,0.0,3
Survey_Month,int32,Month of survey submission extracted from Timestamp,Temporal / Integer,0,0.0,11
